report_name,obj_url
IFS Daily Open Pairings,/WFC/Repository/Ops_Analytics/OPS/Reports/IFS_Reports/IFS_Daily_Open_Pairings/ifs_open_time_pairings.fex
IFS Daily Reserve Stats,/WFC/Repository/Ops_Analytics/OPS/Reports/IFS_Reports/IFS_Daily_Reserve_Stats/ifs_daily_rsv_stats.fex
IFS Hotel Report Daily,/WFC/Repository/Ops_Analytics/OPS/Reports/IFS_Reports/IFS_Hotel_Report/ifs_hotel_report.fex
LHR Passenger Booking Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Station_Reports/LHR_Booking_Forecast_Report/LHR_Booking_Forecast.fex
MSF Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Baggage_Reports/CBO_MSF_PROD/sita_msf.fex
International OTP Summary,/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/China_ARR_and_DEP/intl_otp_report.fex
International OTP Summary - EXCEL,/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/China_ARR_and_DEP/intl_otp_report.fex
Daily Jetz OTP Report,/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/Jetz_Daily_OTP_Report/Jetz_Daily_OTP_Report.fex
MTC Downtime Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/MTC_Downtime_Report/mtc_overnight_fins.fex
Passenger Groups Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Customer_Reports/PAX_Groups_Report/PAX_Groups_Report.fex
Baggage Handling Success Rate & PAWOB Weekly Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Baggage_Reports/Mish_Bag_Report/Mish_Bag_Report.fex
Baggage Handling Success Rate & PAWOB Weekly Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Baggage_Reports/PAWOB_MTD_YTD/sita_PAWOB_Weekly.fex
Daily SSCI Acceptance Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Customer_Reports/PAX_CheckIn_Stats/Daily_Acceptance_Report_PAX_FLT_STD.fex
Pilot Supervisors Utilization Report,/WFC/Repository/Ops_Analytics/OPS/Reports/FOPs_Reports/FOPS_Metrics/PilotSupervisorsUtilization.fex
IOE Tracking Report,/WFC/Repository/Ops_Analytics/OPS/Reports/FOPs_Reports/Flight_Ops_Reports/IOE_Tracking/PQRMcode.fex
PAWOB GH Monthly,/WFC/Repository/Ops_Analytics/OPS/Reports/Baggage_Reports/PAWOB_GH_Monthly/GH_PAWOB_SITA.fex
PAX Check-in and Bag Tag Printed,/WFC/Repository/Ops_Analytics/OPS/Reports/Customer_Reports/PAX_CheckIn_Stats/Monthly_PAX_CheckIn_Stats.fex
Prime Flight Cargo Daily Evening Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/Prime_Flight_Cargo/PrimeFlight_Cargo.fex
Prime Flight Cargo Daily Morning Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/Prime_Flight_Cargo/PrimeFlight_Cargo.fex
Rouge Notification Fin Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/Rouge_Notification_Fin_Report/Rouge_Notification_Fin_Report.fex
SOC WAB Workload,/WFC/Repository/Ops_Analytics/OPS/Reports/ETLs/WAB_Workload_-_Daily/SOC_WAB_Workload.fex
USA Stations: Daily OPS Summary,/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/Daily_Carrier_OPS_Summary/Data_Extract/Ops_Summary_Data_Extract.fex
USA Stations: Daily OPS Summary,/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/USA_Daily_OPS_Summary/Ops_Summary_Composer.fex
RL Integrity Reports,/WFC/Repository/Ops_Analytics/OPS/Reports/Baggage_Reports/RL_Integrity_Reports/sita_RL_Integrity.fex
Monthly QK Irrop Report,/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/QK_IRROP_Report/soc_irrop_report_00_compound.fex
PAL Block Hours Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/PAL_Block_Hours_Report/PAL_Block_Hours_Report.fex
Baggage Handling Success Rate & PAWOB Monthly Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Baggage_Reports/Mish_Bag_Report/Mish_Bag_Report.fex
Baggage Handling Success Rate & PAWOB Monthly Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Baggage_Reports/PAWOB_MTD_YTD/sita_PAWOB_Monthly.fex
Baggage Handling Success Rate & PAWOB Monthly Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Baggage_Reports/PAWOB_MTD_YTD/sita_PAWOB_Yearly.fex
Monthly SSCI Acceptance by AC Destination Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Customer_Reports/PAX_CheckIn_Stats/Weekly_Acceptance_Report_PAX_FLT_STD.fex
Station Gate Compliance Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Station_Reports/Station_Gate_Compliance/station_gating_compliance_west.fex
Station Gate Flight Details Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Station_Reports/Station_Gate_Flight_Details_report/Station_Gate_Flight_Details_report.fex
US Operations Report,/WFC/Repository/Ops_Analytics/OPS/Reports/Misc_Reports/US_GECAS_Tracking/US_FIR_GRND_TIME_MERGED.fex
US Station Delay Summary,/WFC/Repository/Ops_Analytics/OPS/Reports/Station_Reports/US_Station/us_station_delay_compose.fex
US Station Performance,/WFC/Repository/Ops_Analytics/OPS/Reports/Station_Reports/US_Station/us_station_sum_monthly.fex
AC Express Operational Summary,/WFC/Repository/Ops_Analytics/OPS/Reports/OTP_Reports/AC_Express_Operational_Summary/AC_Express_Operational_Summary.fex
