master_name,master_file_path,created_by_proc_name,created_by_proc_path,used_in_proc_name,used_in_proc_path
DELAY_HSTR_B737,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_hstr_b737.mas,,,,
DELAY_HSTR_B767,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_hstr_b767.mas,,,,
DELAY_HSTR_B767R,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_hstr_b767r.mas,,,,
DELAY_HSTR_B777,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_hstr_b777.mas,,,,
DELAY_HSTR_B787,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_hstr_b787.mas,,,,
DELAY_HSTR_ERJ190,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_hstr_erj190.mas,,,,
DELAY_INFO,output\EDA\EDASERVE\ops_analytics\data\hold\acm\delay_info.mas,Daily_Perf_ACMPortal_Current.fex,output\WFC\Repository\Ops_Analytics\ACM\Dashboards\LM_Daily_Perf\Daily_Perf_ACMPortal_Current.fex,,
DETAIL_HOLD,output\EDA\EDASERVE\ops_analytics\data\hold\acm\detail_hold.mas,,,,
DFCT_MONTH,output\EDA\EDASERVE\ops_analytics\data\hold\acm\dfct_month.mas,ftps_xtrcta.fex,output\WFC\Repository\Ops_Analytics\ACM\Reports\Fleet_Management\FTPS\ftps_xtrcta.fex,,
DRSIA220,output\EDA\EDASERVE\ops_analytics\data\hold\acm\drsia220.mas,,,,
DRSIA319,output\EDA\EDASERVE\ops_analytics\data\hold\acm\drsia319.mas,,,,
DRSIA320,output\EDA\EDASERVE\ops_analytics\data\hold\acm\drsia320.mas,,,,
DRSIA321,output\EDA\EDASERVE\ops_analytics\data\hold\acm\drsia321.mas,,,,
DRSIA330,output\EDA\EDASERVE\ops_analytics\data\hold\acm\drsia330.mas,,,,
DRSIB737,output\EDA\EDASERVE\ops_analytics\data\hold\acm\drsib737.mas,,,,
DRSIB767,output\EDA\EDASERVE\ops_analytics\data\hold\acm\drsib767.mas,,,,
DRSIB777,output\EDA\EDASERVE\ops_analytics\data\hold\acm\drsib777.mas,,,,
DRSIB787,output\EDA\EDASERVE\ops_analytics\data\hold\acm\drsib787.mas,,,,
DRSIERJ190,output\EDA\EDASERVE\ops_analytics\data\hold\acm\drsierj190.mas,,,,
