Procedure Name,Procedure Path,Master Name,Master Path
bi_self_serve_op_flights.fex,/output/OPS_BI_Tool/bi_self_serve_op_flights.fex,bi_leg_incident,/output/ops/bi_leg_incident.mas
bi_self_serve_op_flights.fex,/output/OPS_BI_Tool/bi_self_serve_op_flights.fex,bi_leg_flown,/output/ops/bi_leg_flown.mas
bi_self_serve_op_flights.fex,/output/OPS_BI_Tool/bi_self_serve_op_flights.fex,bi_dlycode_td,/output/data/bi_dlycode_td.mas
bi_self_serve_op_flights.fex,/output/OPS_BI_Tool/bi_self_serve_op_flights.fex,leg_flown_bi,/output/ops/leg_flown_bi.mas
bi_self_serve_irrop.fex,/output/OPS_BI_Tool/bi_self_serve_irrop.fex,bi_leg_incident,/output/ops/bi_leg_incident.mas
bi_self_serve_realtime_cached.fex,/output/OPS_BI_Tool/bi_self_serve_realtime_cached.fex,bi_dlycode_td,/output/data/bi_dlycode_td.mas
bi_self_serve_realtime_cached.fex,/output/OPS_BI_Tool/bi_self_serve_realtime_cached.fex,dash_data,/output/ops/dash_data.mas
bi_int_summary_report.fex,/output/OPS_BI_Tool/General/bi_int_summary_report.fex,leg_flown,/output/ops/leg_flown.mas
bi_int_summary_report.fex,/output/OPS_BI_Tool/General/bi_int_summary_report.fex,sita_master_report,/output/airport/sita_master_report.mas
jazz_report_cnl_flight_analysis.fex,/output/OPS_BI_Tool/General/jazz_report_cnl_flight_analysis.fex,leg_incident,/output/ops/leg_incident.mas
jazz_report_cnl_flight_analysis.fex,/output/OPS_BI_Tool/General/jazz_report_cnl_flight_analysis.fex,leg_flown,/output/ops/leg_flown.mas
jazz_report_cpa_flt_comp.fex,/output/OPS_BI_Tool/General/jazz_report_cpa_flt_comp.fex,leg_flown,/output/ops/leg_flown.mas
jazz_report_cpa_flt_comp.fex,/output/OPS_BI_Tool/General/jazz_report_cpa_flt_comp.fex,leg_incident,/output/ops/leg_incident.mas
jazz_report_regn_stn_perf.fex,/output/OPS_BI_Tool/General/jazz_report_regn_stn_perf.fex,leg_flown,/output/ops/leg_flown.mas
jazz_report_regn_stn_perf.fex,/output/OPS_BI_Tool/General/jazz_report_regn_stn_perf.fex,leg_incident,/output/ops/leg_incident.mas
jazz_billing_report.fex,/output/OPS_BI_Tool/General/jazz_billing_report.fex,leg_flown_bi,/output/ops/leg_flown_bi.mas
cnx_activity_rebuild.fex,/output/OPS_BI_Tool/General/cnx_activity_rebuild.fex,leg_scheduled_new,/output/ops/leg_scheduled_new.mas
cnx_activity_rebuild.fex,/output/OPS_BI_Tool/General/cnx_activity_rebuild.fex,v_itinerary_segments,/output/airport/v_itinerary_segments.mas
scheduled_flight_summary_report.fex,/output/OPS_BI_Tool/General/scheduled_flight_summary_report.fex,leg_scheduled_new,/output/ops/leg_scheduled_new.mas
GH_Invoice_Validation_2.fex,/output/OPS_BI_Tool/General/GH_Invoice_Validation_2.fex,leg_flown,/output/ops/leg_flown.mas
GH_Invoice_Validation_2.fex,/output/OPS_BI_Tool/General/GH_Invoice_Validation_2.fex,leg_incident,/output/ops/leg_incident.mas
acm_omi_summary_report.fex,/output/OPS_BI_Tool/ACM/acm_omi_summary_report.fex,omi_snapshot_master,/output/acm/omi_snapshot_master.mas
baggage_in_sequence_report.fex,/output/OPS_BI_Tool/Baggage/baggage_in_sequence_report.fex,leg_flown,/output/ops/leg_flown.mas
baggage_in_sequence_report.fex,/output/OPS_BI_Tool/Baggage/baggage_in_sequence_report.fex,baggage_event_bpm,/output/airport/baggage_event_bpm.mas
Employee_Search_by_Day_Scanner.fex,/output/OPS_BI_Tool/Baggage/Employee_Search_by_Day_Scanner.fex,baggage_event_bpm,/output/airport/baggage_event_bpm.mas
pawobs_by_month_sita.fex,/output/OPS_BI_Tool/Baggage/pawobs_by_month_sita.fex,sita_master_report,/output/airport/sita_master_report.mas
pawobs_summary_report_sita.fex,/output/OPS_BI_Tool/Baggage/pawobs_summary_report_sita.fex,sita_master_report,/output/airport/sita_master_report.mas
pawobs_summary_report_sita.fex,/output/OPS_BI_Tool/Baggage/pawobs_summary_report_sita.fex,lvl0,/output/ops/lvl0.mas
pawobs_summary_report_sita.fex,/output/OPS_BI_Tool/Baggage/pawobs_summary_report_sita.fex,all_data,/output/ops/all_data.mas
Scanner_Detail_by_Day_and_Employee.fex,/output/OPS_BI_Tool/Baggage/Scanner_Detail_by_Day_and_Employee.fex,baggage_event_bpm,/output/airport/baggage_event_bpm.mas
Daily_OpsABS_Report.fex,/output/Executive_Reports/Absenteeism/Daily_OpsABS_Report.fex,absenteeism_ops_targets,/output/ops/absenteeism_ops_targets.mas
Daily_OpsABS_Report.fex,/output/Executive_Reports/Absenteeism/Daily_OpsABS_Report.fex,cc_absenteeism_historical,/output/ops/cc_absenteeism_historical.mas
Daily_OpsABS_Report.fex,/output/Executive_Reports/Absenteeism/Daily_OpsABS_Report.fex,ifs_absenteeism_historical,/output/ifs/ifs_absenteeism_historical.mas
Daily_OpsABS_Report.fex,/output/Executive_Reports/Absenteeism/Daily_OpsABS_Report.fex,fops_absenteeism_historical,/output/fops/fops_absenteeism_historical.mas
Daily_OpsABS_Report.fex,/output/Executive_Reports/Absenteeism/Daily_OpsABS_Report.fex,acm_absenteeism_historical,/output/ops/acm_absenteeism_historical.mas
Daily_OpsABS_Report.fex,/output/Executive_Reports/Absenteeism/Daily_OpsABS_Report.fex,atw_absenteeism_historical,/output/ops/atw_absenteeism_historical.mas
